,Year,Mo,Dy,Tsunami Event Validity,Tsunami Cause Code,Earthquake Magnitude,Focal Depth (km),Deposits,Country,Area,Region,Location Name,Latitude,Longitude,Maximum Water Height (m),Number of Runups,Tsunami Magnitude (Iida),Tsunami Intensity,Deaths,Death Description,Damage ($Mil),Damage Description
104,1808,4,2,2.0,1.0,5.7,29.0,0,ITALY,NA,50.0,ITALIAN COAST,44.833,7.25,0.15,1,0.8,2.0,0,1.0,0.0,1.0
105,1808,8,8,4.0,1.0,6.5,29.0,0,JAPAN,NA,85.0,"E. AWA, TOKUSHIMA PREFECTURE",33.9,134.8,1.5,1,0.5,0.5,0,1.0,0.0,1.0
106,1809,7,3,2.0,1.0,7.1,29.0,0,ITALY,NA,50.0,GULF OF LA SPEZIA,44.8,7.2,1.0,1,0.8,3.0,0,1.0,0.0,1.0
107,1810,8,27,4.0,3.0,7.4,29.0,0,MEXICO,NA,88.0,MEXICO,26.0,-111.35,1.0,9,0.8,1.0,0,1.0,0.0,1.0
108,1810,9,25,4.0,1.0,6.6,29.0,0,JAPAN,NA,85.0,NW. HONSHU ISLAND,39.9,139.9,1.0,1,1.0,0.0,0,1.0,0.0,1.0
109,1810,0,0,4.0,8.0,7.1,29.0,0,NORWAY,NA,73.0,NORTHERN NORWAY,69.433,20.15,1.0,0,0.8,6.0,14,1.0,0.0,2.0
110,1810,0,0,2.0,0.0,7.1,29.0,0,NEW ZEALAND,NA,81.0,NEW ZEALAND,-42.274166666666666,171.88966666666667,1.0,0,0.8,1.0,0,1.0,0.0,1.0
111,1811,11,19,2.0,1.0,7.1,29.0,0,CHILE,NA,89.0,CENTRAL CHILE,-33.0,-71.4,4.0,1,2.0,2.0,0,1.0,0.0,1.0
112,1812,3,26,2.0,1.0,7.7,33.0,0,VENEZUELA,NA,74.0,LA GUAIRA,10.6,-66.9,1.0,1,0.8,1.0,0,1.0,0.0,1.0
113,1812,6,23,2.0,2.0,7.1,29.0,0,FRANCE,NA,50.0,MARSEILLES,43.3,5.366,1.0,1,0.8,1.0,0,1.0,0.0,1.0
114,1812,11,11,2.0,1.0,7.1,29.0,0,JAMAICA,NA,74.0,KINGSTON,18.0,-76.8,1.0,1,0.8,1.0,0,1.0,0.0,1.0
115,1812,12,21,4.0,3.0,7.5,29.0,0,USA,CA,88.0,S. CALIFORNIA,34.2,-119.9,3.4,5,1.8,1.5,0,1.0,0.0,1.0
116,1814,0,0,2.0,1.0,7.1,29.0,0,INDONESIA,NA,60.0,TIMOR ISLAND,-10.217,123.633,1.0,1,1.0,0.0,0,1.0,0.0,1.0
117,1815,4,10,4.0,6.0,7.1,29.0,1,INDONESIA,NA,60.0,TAMBORA,-8.2,118.0,4.0,6,2.0,1.5,0,3.0,0.0,1.0
118,1815,11,22,3.0,3.0,7.0,150.0,0,INDONESIA,NA,60.0,BALI SEA,-8.0,115.0,1.0,1,1.0,1.5,1200,4.0,0.0,1.0
119,1816,5,1,2.0,1.0,7.1,29.0,0,INDONESIA,NA,60.0,MALACCA STRAIT,5.0,96.5,1.0,1,0.8,0.0,0,1.0,0.0,1.0
120,1816,11,14,3.0,1.0,7.1,29.0,0,MEXICO,NA,88.0,CENTRAL MEXICO,19.2892,-104.09460000000001,25.0,1,0.8,1.0,0,1.0,0.0,1.0
121,1817,8,23,3.0,1.0,6.8,29.0,0,GREECE,NA,50.0,CORINTHOS-PATRAS GULF,38.3,22.1,5.0,2,0.8,3.0,0,1.0,0.0,1.0
122,1818,2,20,4.0,1.0,6.0,29.0,0,ITALY,NA,50.0,EASTERN SICILY,37.6,15.133,1.0,1,0.8,3.0,0,1.0,0.0,1.0
123,1818,2,23,2.0,1.0,5.6,29.0,0,ITALY,NA,50.0,LIGURIA-COTE D'AZUR,43.917,8.033,1.0,3,0.8,3.0,0,1.0,0.0,1.0
124,1818,3,18,3.0,3.0,7.0,29.0,0,INDONESIA,NA,60.0,"BENGKULU, SUMATRA",-4.0,101.5,1.0,1,0.8,1.5,0,1.0,0.0,1.0
125,1818,5,31,3.0,1.0,8.2,29.0,0,MEXICO,NA,88.0,CENTRAL MEXICO,19.1,-103.94,13.9,2,0.8,1.0,0,1.0,0.0,1.0
126,1818,11,8,2.0,1.0,8.5,600.0,0,INDONESIA,NA,60.0,BALI SEA,-7.0,117.0,3.5,1,0.8,2.0,0,1.0,0.0,1.0
127,1818,12,9,2.0,1.0,7.1,29.0,0,ITALY,NA,50.0,GENOA,44.75,10.4,1.0,1,0.8,3.0,0,1.0,0.0,1.0
128,1819,1,8,2.0,1.0,7.1,29.0,0,ITALY,NA,50.0,GENOA,43.7,8.0,1.0,1,0.8,3.0,0,1.0,0.0,1.0
129,1819,4,12,4.0,1.0,8.5,29.0,0,CHILE,NA,89.0,NORTHERN CHILE,-27.0,-71.5,4.0,9,2.0,2.0,0,1.0,0.0,2.0
130,1819,6,16,3.0,1.0,7.7,29.0,0,INDIA,NA,60.0,KUTCH,23.0,71.0,1.0,1,0.8,1.0,0,1.0,0.0,2.0
131,1819,8,31,3.0,1.0,5.8,29.0,0,NORWAY,NA,73.0,NORWAY:  RANA REGION: LUROY,66.416,12.85,1.0,1,0.8,1.0,0,1.0,0.0,1.0
132,1819,0,0,2.0,6.0,7.1,29.0,0,USA TERRITORY,MP,81.0,"ASUNCION ISLAND, N. MARIANA ISLANDS",19.67,145.4,1.0,1,1.0,1.0,0,1.0,0.0,1.0
133,1820,3,1,2.0,6.0,7.1,29.0,0,USA,AK,87.0,"E. ALEUTIAN ISLANDS, AK",54.52,-164.65,1.0,1,0.8,0.5,0,1.0,0.0,1.0
